customer_id,Recency,Frequency,Monetary,Cluster,Segment
C00285,2,32,3832.38,0,Loyal Mid-Tier
C00286,111,31,3658.91,0,Loyal Mid-Tier
C00287,75,13,1102.43,3,New/Occasional
C00288,94,13,1238.32,3,New/Occasional
C00289,25,8,867.24,3,New/Occasional
C00290,6,37,7135.54,0,Loyal Mid-Tier
C00291,140,28,855.7,1,At-Risk
C00292,4,16,814.22,3,New/Occasional
C00293,137,16,989.76,1,At-Risk
C00294,29,10,398.61,3,New/Occasional
C00295,116,1,52.0,1,At-Risk
C00296,42,43,2271.69,0,Loyal Mid-Tier
C00297,69,20,1698.65,3,New/Occasional
C00298,15,7,442.45,3,New/Occasional
C00299,11,3,184.88,3,New/Occasional
C00300,53,50,4903.0,0,Loyal Mid-Tier
C00301,36,2,41.66,3,New/Occasional
C00302,76,15,1904.69,3,New/Occasional
C00303,131,26,1895.43,1,At-Risk
C00304,97,23,1115.53,1,At-Risk
C00305,44,12,275.95,3,New/Occasional
C00306,16,3,324.15,3,New/Occasional
C00307,3,12,545.62,3,New/Occasional
C00308,136,20,805.45,1,At-Risk
C00309,39,18,3659.94,0,Loyal Mid-Tier
C00310,163,3,200.05,1,At-Risk
C00311,132,9,1048.67,1,At-Risk
C00312,48,11,685.35,3,New/Occasional
C00313,211,7,333.31,1,At-Risk
C00314,15,12,2389.59,3,New/Occasional
C00315,16,21,482.2,3,New/Occasional
C00316,2,35,4135.4,0,Loyal Mid-Tier
C00317,121,6,566.14,1,At-Risk
C00318,35,10,647.72,3,New/Occasional
C00319,13,60,10480.11,2,VIP
C00320,47,21,2363.86,0,Loyal Mid-Tier
C00321,48,11,2258.41,3,New/Occasional
C00322,48,7,863.14,3,New/Occasional
C00323,76,34,5283.79,0,Loyal Mid-Tier
C00324,106,14,1175.83,1,At-Risk
C00325,17,18,715.18,3,New/Occasional
C00326,7,2,106.5,3,New/Occasional
C00327,40,1,56.01,3,New/Occasional
C00328,289,64,3910.86,1,At-Risk
C00329,152,2,190.61,1,At-Risk
C00330,90,7,520.77,3,New/Occasional
C00331,11,14,336.94,3,New/Occasional
C00332,76,11,1838.46,3,New/Occasional
C00333,47,2,315.98,3,New/Occasional
C00334,31,13,3335.8,3,New/Occasional
C00335,129,2,374.42,1,At-Risk
C00336,115,30,1209.08,1,At-Risk
C00337,94,17,1931.34,3,New/Occasional
C00338,50,11,1772.21,3,New/Occasional
C00339,46,2,475.64,3,New/Occasional
C00340,100,4,447.74,3,New/Occasional
C00341,33,44,5196.42,0,Loyal Mid-Tier
C00342,30,5,880.36,3,New/Occasional
C00343,62,37,1828.17,0,Loyal Mid-Tier
C00344,126,7,192.29,1,At-Risk
C00345,29,14,1346.34,3,New/Occasional
C00346,76,6,345.9,3,New/Occasional
C00347,19,30,1996.09,0,Loyal Mid-Tier
C00348,19,34,2524.33,0,Loyal Mid-Tier
C00349,8,14,455.84,3,New/Occasional
C00350,49,7,403.88,3,New/Occasional
C00351,122,29,1474.68,1,At-Risk
C00352,10,75,3030.96,0,Loyal Mid-Tier
C00353,7,31,968.57,0,Loyal Mid-Tier
C00354,58,19,1468.88,3,New/Occasional
C00355,55,14,1431.17,3,New/Occasional
C00356,25,9,531.76,3,New/Occasional
C00357,4,11,308.52,3,New/Occasional
C00358,59,15,64.24,3,New/Occasional
C00359,8,4,335.25,3,New/Occasional
C00360,105,2,47.2,3,New/Occasional
C00361,139,16,866.33,1,At-Risk
C00362,66,42,1854.89,0,Loyal Mid-Tier
C00363,8,19,1698.17,3,New/Occasional
C00364,4,4,140.96,3,New/Occasional
C00365,14,2,129.4,3,New/Occasional
C00366,2,18,3721.29,0,Loyal Mid-Tier
C00367,9,34,1696.33,0,Loyal Mid-Tier
C00368,8,43,5190.0,0,Loyal Mid-Tier
C00369,110,2,560.77,1,At-Risk
C00370,58,2,275.59,3,New/Occasional
C00371,20,2,275.77,3,New/Occasional
C00372,27,11,411.01,3,New/Occasional
C00373,67,3,503.57,3,New/Occasional
C00374,8,13,2847.83,3,New/Occasional
C00375,27,1,46.69,3,New/Occasional
C00376,35,16,2937.32,3,New/Occasional
C00377,105,26,1242.04,1,At-Risk
C00378,0,4,590.66,3,New/Occasional
C00379,15,4,83.43,3,New/Occasional
C00380,60,2,196.9,3,New/Occasional
C00381,12,17,1567.82,3,New/Occasional
C00382,25,7,604.4,3,New/Occasional
C00383,12,3,187.59,3,New/Occasional
C00384,67,7,624.91,3,New/Occasional
C00385,86,17,1500.41,3,New/Occasional
C00386,37,16,802.03,3,New/Occasional
C00387,42,1,54.19,3,New/Occasional
C00388,26,12,1273.88,3,New/Occasional
C00389,61,28,2345.12,0,Loyal Mid-Tier
C00390,6,5,383.08,3,New/Occasional
C00391,37,33,2101.97,0,Loyal Mid-Tier
C00392,12,9,1295.26,3,New/Occasional
C00393,244,9,413.48,1,At-Risk
C00394,7,18,662.76,3,New/Occasional
C00395,26,6,173.77,3,New/Occasional
C00396,96,39,1920.19,0,Loyal Mid-Tier
C00397,71,41,6162.5,0,Loyal Mid-Tier
C00398,25,3,342.55,3,New/Occasional
C00399,25,27,860.05,0,Loyal Mid-Tier
C00400,122,4,521.46,1,At-Risk
C00401,114,1,96.16,1,At-Risk
C00402,167,23,1423.67,1,At-Risk
C00403,60,2,43.39,3,New/Occasional
C00404,22,25,2328.84,0,Loyal Mid-Tier
C00405,23,10,2426.81,3,New/Occasional
C00406,203,2,113.66,1,At-Risk
C00407,109,18,392.03,1,At-Risk
C00408,45,2,208.37,3,New/Occasional
C00409,15,22,1165.29,3,New/Occasional
C00410,21,18,2491.81,3,New/Occasional
C00411,54,37,1528.6,0,Loyal Mid-Tier
C00412,52,11,319.59,3,New/Occasional
C00413,15,9,901.61,3,New/Occasional
C00414,64,2,68.82,3,New/Occasional
C00415,74,17,2588.02,3,New/Occasional
C00416,91,2,55.17,3,New/Occasional
C00417,144,4,265.29,1,At-Risk
C00418,21,8,1023.91,3,New/Occasional
C00419,230,48,4620.51,1,At-Risk
C00420,7,29,2361.13,0,Loyal Mid-Tier
C00421,5,10,1757.33,3,New/Occasional
C00422,43,4,71.85,3,New/Occasional
C00423,51,1,172.6,3,New/Occasional
C00424,241,27,2857.97,1,At-Risk
C00425,14,13,1245.43,3,New/Occasional
C00426,0,20,921.91,3,New/Occasional
C00427,8,29,3285.24,0,Loyal Mid-Tier
C00428,76,59,2954.14,0,Loyal Mid-Tier
C00429,426,3,150.27,1,At-Risk
C00430,61,5,414.19,3,New/Occasional
C00431,7,23,941.64,3,New/Occasional
C00432,14,5,490.81,3,New/Occasional
C00433,120,3,284.55,1,At-Risk
C00434,5,25,1188.41,3,New/Occasional
C00435,63,10,244.97,3,New/Occasional
C00436,79,7,458.55,3,New/Occasional
C00437,1,30,3266.36,0,Loyal Mid-Tier
C00438,37,11,400.32,3,New/Occasional
C00439,107,8,973.15,1,At-Risk
C00440,6,11,2337.86,3,New/Occasional
C00441,24,7,451.99,3,New/Occasional
C00442,14,8,3496.25,3,New/Occasional
C00443,12,16,586.5,3,New/Occasional
C00444,87,24,1020.26,3,New/Occasional
C00445,66,6,325.85,3,New/Occasional
C00446,147,3,256.99,1,At-Risk
C00447,166,3,823.72,1,At-Risk
C00448,11,11,922.39,3,New/Occasional
C00449,29,3,252.81,3,New/Occasional
C00450,14,18,2232.39,3,New/Occasional
C00451,6,35,468.75,0,Loyal Mid-Tier
C00452,59,4,1111.33,3,New/Occasional
C00453,55,4,691.53,3,New/Occasional
C00454,11,29,3431.04,0,Loyal Mid-Tier
C00455,21,17,404.46,3,New/Occasional
C00456,68,6,561.79,3,New/Occasional
C00457,4,7,1024.65,3,New/Occasional
C00458,1,11,172.16,3,New/Occasional
C00459,8,39,2075.78,0,Loyal Mid-Tier
C00460,21,9,248.48,3,New/Occasional
C00461,58,29,1419.65,0,Loyal Mid-Tier
C00462,2,2,64.31,3,New/Occasional
C00463,131,10,1056.48,1,At-Risk
C00464,102,11,952.82,1,At-Risk
C00465,2,2,109.59,3,New/Occasional
C00466,95,9,198.59,3,New/Occasional
C00467,16,12,649.99,3,New/Occasional
C00468,57,20,4170.42,0,Loyal Mid-Tier
C00469,382,18,906.56,1,At-Risk
C00470,162,1,85.72,1,At-Risk
C00471,21,14,1150.72,3,New/Occasional
C00472,17,15,234.36,3,New/Occasional
C00473,90,4,361.27,3,New/Occasional
C00474,38,2,84.3,3,New/Occasional
C00475,123,17,594.77,1,At-Risk
C00476,91,32,2347.38,0,Loyal Mid-Tier
C00477,20,12,531.51,3,New/Occasional
C00478,11,1,46.15,3,New/Occasional
C00479,9,1,124.35,3,New/Occasional
C00480,55,30,1832.21,0,Loyal Mid-Tier
C00481,99,39,2250.64,0,Loyal Mid-Tier
C00482,132,5,622.61,1,At-Risk
C00483,8,15,3377.46,3,New/Occasional
C00484,46,25,2108.48,0,Loyal Mid-Tier
C00485,20,16,3137.09,3,New/Occasional
C00486,25,22,1865.03,3,New/Occasional
C00487,88,4,265.92,3,New/Occasional
C00488,23,14,2762.38,3,New/Occasional
C00489,98,14,414.37,3,New/Occasional
C00490,113,15,1225.07,1,At-Risk
C00491,14,2,249.71,3,New/Occasional
C00492,121,39,3240.09,0,Loyal Mid-Tier
C00493,16,28,5307.08,0,Loyal Mid-Tier
C00494,66,32,5375.69,0,Loyal Mid-Tier
C00495,21,20,789.02,3,New/Occasional
C00496,17,13,1634.69,3,New/Occasional
C00497,20,15,1052.5,3,New/Occasional
C00498,32,6,560.77,3,New/Occasional
C00499,64,12,668.9,3,New/Occasional
C00500,248,5,113.46,1,At-Risk
C00501,29,5,1181.7,3,New/Occasional
C00502,13,10,516.84,3,New/Occasional
C00503,3,19,2628.29,3,New/Occasional
C00504,12,15,1206.9,3,New/Occasional
C00505,121,18,1787.76,1,At-Risk
C00506,47,10,359.21,3,New/Occasional
C00507,8,12,2465.06,3,New/Occasional
C00508,55,10,739.25,3,New/Occasional
C00509,4,11,2236.41,3,New/Occasional
C00510,41,3,171.23,3,New/Occasional
C00511,11,2,83.13,3,New/Occasional
C00512,95,5,412.66,3,New/Occasional
C00513,11,7,376.95,3,New/Occasional
C00514,5,5,614.72,3,New/Occasional
C00515,52,28,785.68,0,Loyal Mid-Tier
C00516,39,18,371.78,3,New/Occasional
C00517,13,17,2542.25,3,New/Occasional
C00518,46,27,1066.39,0,Loyal Mid-Tier
C00519,20,18,461.51,3,New/Occasional
C00520,0,3,84.3,3,New/Occasional
C00521,69,4,198.15,3,New/Occasional
C00522,28,7,878.39,3,New/Occasional
C00523,35,11,1246.66,3,New/Occasional
C00524,25,11,1102.2,3,New/Occasional
C00525,73,21,1260.63,3,New/Occasional
C00526,144,9,289.14,1,At-Risk
C00527,47,15,999.86,3,New/Occasional
C00528,3,13,682.5,3,New/Occasional
C00529,63,10,1801.94,3,New/Occasional
C00530,59,25,4402.0,0,Loyal Mid-Tier
C00531,59,6,810.86,3,New/Occasional
C00532,37,5,103.34,3,New/Occasional
C00533,11,7,639.63,3,New/Occasional
C00534,13,40,4898.95,0,Loyal Mid-Tier
C00535,85,10,548.05,3,New/Occasional
C00536,135,4,64.19,1,At-Risk
C00537,10,20,1066.71,3,New/Occasional
C00538,105,19,2088.86,1,At-Risk
C00539,29,9,1387.31,3,New/Occasional
C00540,22,2,68.14,3,New/Occasional
C00541,67,27,2273.69,0,Loyal Mid-Tier
C00542,96,46,1392.52,0,Loyal Mid-Tier
C00543,222,2,99.19,1,At-Risk
C00544,72,53,1035.91,0,Loyal Mid-Tier
C00545,157,13,228.77,1,At-Risk
C00546,11,8,527.22,3,New/Occasional
C00547,47,19,652.52,3,New/Occasional
C00548,40,22,456.19,3,New/Occasional
C00549,290,1,221.23,1,At-Risk
C00550,160,31,11446.58,2,VIP
C00551,60,4,198.16,3,New/Occasional
C00552,92,8,630.59,3,New/Occasional
C00553,16,24,2036.99,0,Loyal Mid-Tier
C00554,77,61,4792.5,0,Loyal Mid-Tier
C00555,10,17,808.61,3,New/Occasional
C00556,10,31,2044.47,0,Loyal Mid-Tier
C00557,146,37,624.8,1,At-Risk
C00558,12,11,1364.45,3,New/Occasional
C00559,19,21,746.62,3,New/Occasional
C00560,5,13,368.67,3,New/Occasional
C00561,80,6,516.34,3,New/Occasional
C00562,3,1,155.26,3,New/Occasional
C00563,49,21,887.68,3,New/Occasional
C00564,93,4,329.62,3,New/Occasional
C00565,67,2,59.09,3,New/Occasional
C00566,74,2,53.95,3,New/Occasional
C00567,95,27,744.13,0,Loyal Mid-Tier
C00568,34,47,2076.46,0,Loyal Mid-Tier
C00569,0,10,1001.0,3,New/Occasional
C00570,108,1,68.34,1,At-Risk
C00571,21,18,575.16,3,New/Occasional
C00572,224,9,833.49,1,At-Risk
C00573,45,28,1465.64,0,Loyal Mid-Tier
C00574,25,9,1169.49,3,New/Occasional
C00575,49,8,82.01,3,New/Occasional
C00576,190,6,642.48,1,At-Risk
C00577,3,45,5054.58,0,Loyal Mid-Tier
C00578,345,7,294.19,1,At-Risk
C00579,4,10,382.33,3,New/Occasional
C00580,30,31,914.82,0,Loyal Mid-Tier
C00581,143,3,161.75,1,At-Risk
C00582,10,33,2000.03,0,Loyal Mid-Tier
C00583,4,36,2252.89,0,Loyal Mid-Tier
C00584,15,8,377.7,3,New/Occasional
C00585,14,9,835.93,3,New/Occasional
C00586,48,11,1171.25,3,New/Occasional
C00587,21,7,787.37,3,New/Occasional
C00588,8,7,516.24,3,New/Occasional
C00589,28,9,1647.0,3,New/Occasional
C00590,83,4,296.21,3,New/Occasional
C00591,92,3,1011.33,3,New/Occasional
C00592,210,9,4559.73,1,At-Risk
C00593,109,32,6580.33,0,Loyal Mid-Tier
C00594,74,28,4680.99,0,Loyal Mid-Tier
C00595,85,2,255.4,3,New/Occasional
C00596,0,35,2810.18,0,Loyal Mid-Tier
C00597,0,58,5717.33,0,Loyal Mid-Tier
C00598,10,8,658.26,3,New/Occasional
C00599,24,64,6874.4,2,VIP
C00600,131,7,1113.8,1,At-Risk
C00601,17,1,51.46,3,New/Occasional
C00602,24,18,2378.18,3,New/Occasional
C00603,36,6,586.6,3,New/Occasional
C00604,20,48,3505.96,0,Loyal Mid-Tier
C00605,92,28,720.25,0,Loyal Mid-Tier
C00606,162,12,1429.53,1,At-Risk
C00607,106,67,1226.13,0,Loyal Mid-Tier
C00608,45,47,8759.82,2,VIP
C00609,9,60,2759.34,0,Loyal Mid-Tier
C00610,78,7,631.57,3,New/Occasional
C00611,5,2,107.31,3,New/Occasional
C00612,8,3,421.71,3,New/Occasional
C00613,33,20,1372.66,3,New/Occasional
C00614,10,2,70.38,3,New/Occasional
C00615,144,4,864.5,1,At-Risk
C00616,15,4,159.99,3,New/Occasional
C00617,2,30,3807.69,0,Loyal Mid-Tier
C00618,143,13,5180.82,1,At-Risk
C00619,43,17,1394.93,3,New/Occasional
C00620,15,24,1483.41,3,New/Occasional
C00621,17,2,120.61,3,New/Occasional
C00622,0,5,1255.06,3,New/Occasional
C00623,25,4,1470.94,3,New/Occasional
C00624,38,53,5634.33,0,Loyal Mid-Tier
